ID 	 SPEED
------	-------
0 	 51
1 	 57
3 	 46
4 	 91<---exceeded
5 	 66
7 	 60
12 	 40
11 	 33
13 	 35
14 	 62
15 	 66
23 	 70
24 	 73
34 	 65
37 	 56
39 	 43
43 	 61
53 	 49
55 	 54
56 	 60
57 	 83<---exceeded
59 	 66
65 	 124<---exceeded
66 	 74
69 	 110<---exceeded
71 	 110<---exceeded
94 	 66
98 	 68
99 	 99<---exceeded
100 	 76
101 	 72
104 	 84<---exceeded
107 	 182<---exceeded
105 	 104<---exceeded
113 	 62
120 	 61
124 	 81<---exceeded
128 	 75
140 	 70
144 	 78
148 	 69
152 	 71
154 	 74
155 	 75
164 	 76
165 	 76
166 	 76
167 	 76
170 	 69
175 	 75
176 	 84<---exceeded
